epoch,train_loss,test_loss,test_accuracy
1,1.571446788437823,0.6504817128181457,82.38
2,0.46408708647210545,0.3705697193741798,89.61
3,0.31705698513604225,0.2936176896095276,91.61
4,0.25119295541910414,0.25076213479042053,92.6
5,0.20917247180291948,0.22516970261931418,93.17
6,0.1777019074305575,0.2002238839864731,94.07
7,0.15152944763131598,0.1724589414894581,94.81
8,0.12949947020078592,0.16362880244851113,95.03
9,0.11306486044950942,0.14746315851807595,95.35
10,0.10133507415810798,0.13961238265037537,95.84
