epoch,train_loss,test_loss,test_accuracy
1,0.6495964819672646,0.10639973804354667,97.01
2,0.15086976809701177,0.06689354162663222,97.97
3,0.1104903130887398,0.05524361915886402,98.31
4,0.09169560684951575,0.05785494446754456,98.23
5,0.07999249378632285,0.04114594357088208,98.76
6,0.07147696641817895,0.03461065078154206,98.77
7,0.06609789241995932,0.03494660621508956,98.81
8,0.06348801336895579,0.040041155833750966,98.59
9,0.05888587888106823,0.031321890838444236,99.02
10,0.056838526595771106,0.027067934442311526,99.12
