epoch,train_loss,test_loss,test_accuracy
1,0.29387545620978894,0.12355645596981049,96.12
2,0.10646354061450118,0.08923643715679645,97.03
3,0.07210594039238584,0.08148269448429346,97.4
4,0.05459281940758824,0.07545804157853127,97.45
5,0.04034043429487659,0.0680421121418476,97.84
6,0.033851545854488505,0.05948769235983491,98.21
7,0.02727714484228121,0.06407066080719233,98.01
8,0.020537318873246124,0.06594399763271212,98.01
9,0.01684283932105257,0.06645012004300951,98.12
10,0.012145324837527985,0.06342989029362797,98.23
