epoch,train_loss,test_loss,test_accuracy
1,0.27944920831191133,0.08663840740919113,97.21
2,0.07831832159857657,0.07071294225752353,97.68
3,0.055664767758912846,0.05543260527774692,98.22
4,0.0438828217968998,0.04646074753254652,98.6
5,0.035450405244758204,0.03772169621661305,98.8
6,0.030288859394654238,0.03167938077822328,98.92
7,0.025263907466864292,0.03348008668981493,98.91
8,0.02178947329012948,0.035795991960912946,98.84
9,0.018981894958151335,0.033422309625893834,99.01
10,0.01564300002121957,0.036782949231565,99.0
